,,,,,
,,,,,
№,Summary,Preconditions,Test data,Steps,Expected Result
Positive testing,,,,,
ТС-1,Успешная отправка данных для обратной связи,"Открыт сайт, прокрутить вниз до футера сайта, в котором есть окно ""Связаться с нами"" ","Поле ""Name"" - Ольга
Поле ""Email"" - Olga_user12@gmail.com
Поле ""Message"" - ""Произошла проблема""", 1 Ввести значение имени из тестовых данных в поле Name ,"Введенное значение из тестовых данных отображено в поле ""name"""
,,,,2. Ввести значение email из тестовых данных в поле Email,"Введенное значение из тестовых данных отображено в поле ""Email"""
,,,,3. Ввести сообщение из тестовых данных в поле Message ,"Введенное значение из тестовых данных отображено в поле ""Message"""
,,,,4. Нажать на кнопку Send,"Система отображает всплывающее окно с сообщением ""Мы свяжемся с вами в ближайшее время"""
ТС-2,Успешная отправка данных для обратной связи,"Открыт сайт, прокрутить вниз до футера сайта, в котором есть окно ""Связаться с нами"" ",,1. Ввести значение имени из тестовых данных в поле Name ,"Введенное значение из тестовых данных отображено в поле ""name"""
,,,,2. Ввести значение email из тестовых данных в поле Email,"Введенное значение из тестовых данных отображено в поле ""Email"""
,,,,"3. В Поле Message не вводить никакие данные, оставить пустым  ",Поле Message пустое
,,,,4. Нажать на кнопку Send,"Система отображает всплывающее окно с сообщением ""Мы свяжемся с вами в ближайшее время"""
Negative testing,,,,,
ТС-3,Неуспешная отправка данных для обратной связи,"Открыт сайт, прокрутить вниз до футера сайта, в котором есть окно ""Связаться с нами"" ","Поле ""Name"" - Ольга Поле ""Email"" - Olga_user12@gmail.com Поле ""Message"" - ""Произошла проблема""", 1 Ввести значение имени из тестовых данных в поле Name ,"Введенное значение из тестовых данных отображено в поле ""name"""
,,,,"2. В поле Email не вводить никакие данные, оставить пустым",Поле Email пустое
,,,,"3. В Поле Message не вводить никакие данные, оставить пустым  ",Поле Message пустое
,,,,4. Нажать на кнопку Send,"Система выделяет цветом поле  Email и  отображает сообщение возле этого поля ""Заполните поле"""
ТС-4,Неуспешная отправка данных для обратной связи,"Открыт сайт, прокрутить вниз до футера сайта, в котором есть окно ""Связаться с нами"" ",," 1 В поле Name не вводить никакие данные, оставить пустым ",Поля Namе пустое
,,,,"2. В поле Email не вводить никакие данные, оставить пустым",Поле Email пустое
,,,,3. Ввести сообщение из тестовых данных в поле Message ,"Введенное значение из тестовых данных отображено в поле ""Message"""
,,,,4. Нажать на кнопку Send,"Система выделяет цветом поле  Name и  отображает сообщение возле этого поля ""Заполните поле"""
